iter	MultiClass
0	1.313896421
1	1.255496882
2	1.198294729
3	1.148010798
4	1.104516074
5	1.067531492
6	1.030840805
7	0.9996393449
8	0.9701673752
9	0.9433585969
10	0.9196186328
11	0.8964039942
12	0.8763138447
13	0.8563399634
14	0.8369780506
15	0.821385596
16	0.8045056602
17	0.7886731334
18	0.7742056585
19	0.7605686562
20	0.7470122
21	0.7343313087
22	0.7217635049
23	0.7103155701
24	0.6996781667
25	0.6898411232
26	0.6797139833
27	0.6709437046
28	0.661604646
29	0.6533962139
30	0.646051371
31	0.6393052372
32	0.6323425421
33	0.6261199035
34	0.6201828422
35	0.6146562863
36	0.6087059473
37	0.6035825158
38	0.598004058
39	0.5928857954
40	0.587324122
41	0.5828637583
42	0.5785685057
43	0.573192536
44	0.5686623665
45	0.5639243176
46	0.5589107053
47	0.5555590126
48	0.5519765006
49	0.5480929206
50	0.5449199073
51	0.5414838922
52	0.5377869732
53	0.5347543134
54	0.5321083022
55	0.5287003421
56	0.5266701908
57	0.5239153742
58	0.5209811582
59	0.5183724047
60	0.5159343023
61	0.5131716459
62	0.510833137
63	0.5081333099
64	0.5058707122
65	0.5035390748
66	0.5018970911
67	0.4999631038
68	0.4979735488
69	0.4952896185
70	0.4934018085
71	0.4915735746
72	0.4899518328
73	0.4880796905
74	0.4858181655
75	0.4845118225
76	0.4824899685
77	0.4805643044
78	0.4784256373
79	0.4767939231
80	0.4755678461
81	0.4736422241
82	0.4720576495
83	0.4703766648
84	0.468736443
85	0.4671064527
86	0.465039606
87	0.4632831283
88	0.461139063
89	0.4590795159
90	0.457650736
91	0.4563486336
92	0.4548892689
93	0.4534941717
94	0.4516671362
95	0.4496832406
96	0.4484830759
97	0.4470230776
98	0.4455644477
99	0.4440989939
100	0.4419995212
101	0.4405393726
102	0.4392040432
103	0.4376502623
104	0.4355501049
105	0.4341689944
106	0.4329427793
107	0.4315851793
108	0.4301200008
109	0.4289082359
110	0.4275499657
111	0.4266859306
112	0.4248619876
113	0.4231487909
114	0.4220988623
115	0.4212169838
116	0.4201949129
117	0.418610341
118	0.417560242
119	0.4166135839
120	0.4154121242
121	0.4142755595
122	0.4126235849
123	0.411985626
124	0.4103309613
125	0.4091038212
126	0.4078343743
127	0.4060039156
128	0.4048150247
129	0.4035776278
130	0.402619287
131	0.4011570963
132	0.4002818627
133	0.3991943983
134	0.398175385
135	0.39668918
136	0.3955604314
137	0.3945590857
138	0.3935653363
139	0.3926222154
140	0.391392176
141	0.3904627348
142	0.3893095391
143	0.387830292
144	0.3868488028
145	0.3858292963
146	0.3845237271
147	0.3836843386
148	0.3827529141
149	0.381962418
150	0.3814841245
151	0.3805492
152	0.3792809439
153	0.3782341345
154	0.3776773583
155	0.3763629081
156	0.3756898867
157	0.374650004
158	0.3735204883
159	0.3723717513
160	0.3715828897
161	0.3704971643
162	0.3695835265
163	0.3684820053
164	0.3676405239
165	0.3670475593
166	0.3658784377
167	0.3648279699
168	0.3639088622
169	0.3633581141
170	0.3619670462
171	0.361046041
172	0.3603862287
173	0.3592698061
174	0.3583442181
175	0.3578639903
176	0.357314605
177	0.3566796825
178	0.3562860703
179	0.3558937454
180	0.3548871749
181	0.3537856052
182	0.3524781041
183	0.3518045531
184	0.3507084985
185	0.3497302517
186	0.3489911588
187	0.3477146834
188	0.3470019561
189	0.3462934111
190	0.3454488285
191	0.3447878328
192	0.3440273859
193	0.3432163741
194	0.3419319239
195	0.3411603259
196	0.3405870887
197	0.33980787
198	0.3391387501
199	0.3383890334
200	0.3377675168
201	0.3368339492
202	0.3354473419
203	0.3350665766
204	0.3341817069
205	0.3337193967
206	0.3329743023
207	0.3325565709
208	0.3312601995
209	0.3302335097
210	0.3295083872
211	0.3287827249
212	0.3274602978
213	0.3266019677
214	0.3260061407
215	0.3252543566
216	0.324485082
217	0.323654768
218	0.3227343074
219	0.322033869
220	0.321237317
221	0.3206083298
222	0.3197602136
223	0.3190920168
224	0.3185807791
225	0.3178300395
226	0.316973282
227	0.3160734059
228	0.315587603
229	0.3146413657
230	0.3142155148
231	0.3137508915
232	0.312923553
233	0.3122615976
234	0.3117266063
235	0.310908296
236	0.3103238478
237	0.3093890501
238	0.3086497373
239	0.3078365595
240	0.3070351416
241	0.306463831
242	0.3055767832
243	0.30460763
244	0.3035399678
245	0.3024314193
246	0.3016665249
247	0.3012190296
248	0.3005747642
249	0.3000898234
250	0.2992402356
251	0.2985311515
252	0.2979678364
253	0.2973628295
254	0.2966166541
255	0.2960359435
256	0.2952267514
257	0.294521005
258	0.293616742
259	0.2926392655
260	0.2921688899
261	0.2914298554
262	0.2905887789
263	0.2901731711
264	0.2895033446
265	0.2888395819
266	0.2880467419
267	0.2871789448
268	0.2863471512
269	0.2855511041
270	0.2850126101
271	0.2844105535
272	0.2837105722
273	0.2832223309
274	0.2821640059
275	0.2815532594
276	0.2809043493
277	0.2800903859
278	0.2798384979
279	0.2793717582
280	0.2786565659
281	0.2778783774
282	0.277401914
283	0.276487666
284	0.2761511817
285	0.2752776043
286	0.2746561562
287	0.2740641837
288	0.273569782
289	0.2727820521
290	0.2719835271
291	0.271388138
292	0.2706302334
293	0.2698978159
294	0.2692018307
295	0.2686394858
296	0.2682478736
297	0.2677106305
298	0.2673212695
299	0.266588456
