iter	Passed	Remaining
0	114	34349
1	179	26769
2	245	24261
3	318	23548
4	381	22528
5	449	22003
6	512	21466
7	577	21089
8	655	21205
9	719	20857
10	787	20692
11	861	20665
12	931	20567
13	999	20426
14	1066	20260
15	1134	20129
16	1203	20042
17	1273	19950
18	1336	19773
19	1401	19623
20	1464	19453
21	1527	19300
22	1590	19153
23	1656	19052
24	1722	18944
25	1787	18833
26	1851	18725
27	1918	18634
28	1984	18546
29	2048	18437
30	2112	18331
31	2177	18237
32	2242	18146
33	2308	18057
34	2369	17943
35	2450	17972
36	2543	18082
37	2630	18134
38	2704	18101
39	2789	18133
40	2865	18102
41	2939	18055
42	3011	17998
43	3082	17937
44	3150	17853
45	3226	17818
46	3300	17768
47	3370	17693
48	3441	17627
49	3519	17596
50	3595	17554
51	3680	17551
52	3772	17581
53	3861	17590
54	3948	17589
55	4039	17600
56	4118	17557
57	4192	17491
58	4260	17404
59	4327	17308
60	4398	17232
61	4465	17143
62	4532	17050
63	4599	16961
64	4668	16877
65	4739	16802
66	4822	16770
67	4898	16711
68	4974	16655
69	5043	16571
70	5109	16481
71	5176	16393
72	5249	16324
73	5325	16263
74	5396	16188
75	5468	16118
76	5539	16042
77	5607	15960
78	5676	15880
79	5742	15790
80	5811	15713
81	5883	15640
82	5952	15563
83	6028	15501
84	6101	15434
85	6175	15365
86	6246	15293
87	6316	15216
88	6386	15140
89	6457	15066
90	6529	14997
91	6596	14913
92	6677	14863
93	6751	14795
94	6830	14738
95	6901	14666
96	6973	14594
97	7044	14519
98	7109	14434
99	7179	14359
100	7256	14296
101	7332	14232
102	7406	14164
103	7478	14094
104	7559	14038
105	7633	13970
106	7705	13897
107	7777	13827
108	7848	13752
109	7916	13673
110	7990	13605
111	8062	13533
112	8130	13455
113	8203	13384
114	8274	13310
115	8345	13237
116	8419	13169
117	8487	13091
118	8555	13012
119	8647	12971
120	8734	12921
121	8810	12855
122	8880	12778
123	8947	12699
124	9016	12623
125	9087	12549
126	9155	12471
127	9225	12396
128	9297	12324
129	9366	12248
130	9435	12172
131	9506	12099
132	9575	12023
133	9645	11949
134	9717	11876
135	9794	11811
136	9863	11735
137	9937	11665
138	10015	11600
139	10087	11528
140	10160	11457
141	10231	11384
142	10314	11324
143	10391	11257
144	10467	11189
145	10547	11125
146	10620	11053
147	10692	10981
148	10757	10901
149	10827	10827
150	10894	10749
151	10960	10671
152	11029	10597
153	11098	10522
154	11164	10444
155	11230	10367
156	11292	10285
157	11353	10203
158	11418	10125
159	11482	10047
160	11546	9969
161	11612	9892
162	11677	9814
163	11753	9746
164	11822	9672
165	11890	9598
166	11965	9529
167	12038	9458
168	12108	9385
169	12187	9319
170	12271	9257
171	12347	9188
172	12419	9117
173	12488	9043
174	12553	8966
175	12617	8889
176	12681	8812
177	12743	8734
178	12807	8657
179	12873	8582
180	12945	8511
181	13023	8443
182	13098	8374
183	13165	8299
184	13234	8226
185	13302	8153
186	13369	8078
187	13435	8004
188	13498	7927
189	13560	7851
190	13625	7775
191	13688	7699
192	13756	7626
193	13824	7553
194	13890	7479
195	13958	7406
196	14025	7332
197	14091	7259
198	14159	7186
199	14230	7115
200	14296	7041
201	14362	6967
202	14428	6894
203	14491	6819
204	14558	6746
205	14620	6671
206	14691	6600
207	14753	6525
208	14819	6452
209	14883	6378
210	14946	6304
211	15005	6228
212	15068	6154
213	15129	6079
214	15189	6005
215	15250	5930
216	15310	5856
217	15370	5781
218	15434	5708
219	15494	5634
220	15555	5560
221	15617	5487
222	15686	5416
223	15754	5345
224	15828	5276
225	15899	5205
226	15968	5135
227	16041	5065
228	16112	4995
229	16185	4926
230	16254	4855
231	16325	4785
232	16394	4714
233	16463	4643
234	16532	4572
235	16602	4502
236	16671	4431
237	16738	4360
238	16801	4288
239	16877	4219
240	16948	4149
241	17016	4078
242	17088	4008
243	17159	3938
244	17230	3867
245	17301	3797
246	17366	3726
247	17432	3655
248	17499	3584
249	17568	3513
250	17633	3442
251	17703	3372
252	17774	3302
253	17845	3231
254	17914	3161
255	17983	3090
256	18050	3020
257	18119	2949
258	18185	2878
259	18252	2808
260	18319	2737
261	18393	2667
262	18461	2597
263	18529	2526
264	18596	2456
265	18661	2385
266	18729	2314
267	18795	2244
268	18862	2173
269	18927	2103
270	18991	2032
271	19059	1962
272	19129	1891
273	19201	1822
274	19275	1752
275	19356	1683
276	19430	1613
277	19506	1543
278	19570	1473
279	19636	1402
280	19703	1332
281	19769	1261
282	19832	1191
283	19902	1121
284	19975	1051
285	20051	981
286	20124	911
287	20190	841
288	20255	770
289	20325	700
290	20393	630
291	20457	560
292	20524	490
293	20594	420
294	20664	350
295	20729	280
296	20798	210
297	20866	140
298	20933	70
299	21000	0
